Timestamp,Text
2021-04-07T07:32:56.000Z,"Replying to 
@libert_zlin常青兄，生日快乐！你的人生很辉煌，你是真正的汉子！"
2021-03-02T19:50:35.000Z,"Replying to 
@zhaoxin8964不担心邻居有意见吗？"
2021-02-20T06:16:32.000Z,"Replying to 
@cunzhuzheng你们玩的是合肥麻将吗。"
2021-02-05T21:12:47.000Z,"Replying to 
@tiger8916
 and 
@jijiweiguan这个必须转。"
2021-02-01T21:45:15.000Z,"我的政治观点是 右倾中间派： https://idrlabs.com/cn/political-left-right/11/result.php… via 
@idr_labs我的政治观点是 右倾中间派！
参加政治左派/右派测试，找出您的政治观点。
idrlabs.com"
2021-01-01T19:37:28.000Z,"Replying to 
@xiaoweirose好漂亮的两只狗狗
！"
